Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/23 09:33,Bank of Baroda,861019678,HSBC,887490893,1161.06,British Pound,1165.17,British Pound,ACH,0
2022/09/13 07:31,Standard Chartered,813561597,JPMorgan Chase,820570592,271.85,Euro,272.4,Euro,Cheque,0
2022/09/12 03:04,Wells Fargo,831227574,Wells Fargo,890388981,7694.94,US Dollar,7716.08,US Dollar,Cheque,0
2022/09/16 16:23,Barclays,882340307,Morgan Stanley,871586053,1081.92,British Pound,1089.95,British Pound,Cheque,0
2022/09/14 02:08,Goldman Sachs,831227574,Barclays,891756179,1045.87,British Pound,1044.46,British Pound,Wire,0
2022/09/04 16:15,Goldman Sachs,894374605,HSBC,855176955,426.82,Swiss Franc,426.46,Swiss Franc,ACH,0
2022/09/07 15:47,UBS,839958838,JPMorgan Chase,926240908,8633.02,Indian Rupee,8534.86,Japanese Yen,Wire,1
2022/09/24 10:22,Wells Fargo,840742311,Deutsche Bank,839436733,236.69,Hong Kong Dollar,238.21,Hong Kong Dollar,ACH,0
2022/09/12 15:21,Morgan Stanley,835808537,Societe Generale,882394227,1970.97,Euro,1939.91,Euro,Cheque,0
2022/09/24 11:17,Societe Generale,867503414,Wells Fargo,839587039,61.67,Euro,61.31,Euro,Cheque,0
2022/09/13 09:16,Deutsche Bank,845575298,Morgan Stanley,820576383,4317.05,Swiss Franc,4376.05,Swiss Franc,Reinvestment,0
2022/09/26 10:00,Standard Chartered,826879290,JPMorgan Chase,889254563,144.9,US Dollar,143.32,US Dollar,ACH,0
2022/09/27 05:43,BNP Paribas,822575562,Barclays,918593410,45593.13,UAE Dirham,42596.47,Japanese Yen,Wire,1
2022/09/25 17:09,Deutsche Bank,819335534,Credit Suisse,858181396,121.44,British Pound,119.27,British Pound,ACH,0
2022/09/24 19:50,Bank of Baroda,842138745,ING Bank,831931511,461.35,US Dollar,456.88,US Dollar,Wire,0
2022/09/24 15:17,Deutsche Bank,853524491,HSBC,881691040,269.13,Euro,270.74,Euro,ACH,0
2022/09/17 05:08,JPMorgan Chase,828740864,ING Bank,884752529,754.4,British Pound,761.21,British Pound,Cheque,0
2022/09/09 10:39,Credit Suisse,888461803,HSBC,867503414,397.69,British Pound,396.07,British Pound,ACH,0
2022/09/21 05:55,Goldman Sachs,845551614,Wells Fargo,849392920,658.73,US Dollar,654.88,US Dollar,Wire,0
2022/09/18 14:39,ING Bank,839476249,Barclays,838898923,182.98,Euro,180.54,Euro,Cheque,0
2022/09/27 16:04,Standard Chartered,863843426,UBS,882394227,1505.97,UAE Dirham,1478.39,UAE Dirham,Cheque,0
2022/09/15 16:03,Citibank,883793389,Bank of Baroda,891415657,351.18,Euro,348.11,Euro,Cheque,0
2022/09/08 23:19,BNP Paribas,847295260,UBS,887490893,1035.71,British Pound,1044.26,British Pound,ACH,0
2022/09/21 20:21,ING Bank,858181396,Goldman Sachs,870291817,8598.21,Singapore Dollar,8753.97,Singapore Dollar,ACH,0
2022/09/01 20:48,Deutsche Bank,872043515,Morgan Stanley,858966946,15085.56,Euro,15061.59,Euro,Wire,0
2022/09/16 18:15,UBS,828728463,UBS,885345555,1045.0,Euro,1041.6,Euro,Wire,0
2022/09/23 08:28,Goldman Sachs,912823170,HSBC,940728046,8882.64,US Dollar,9298.81,Chinese Yuan,Cheque,1
2022/09/18 22:58,Credit Suisse,895822412,Morgan Stanley,840742311,302.7,British Pound,301.14,British Pound,ACH,0
2022/09/23 06:06,Standard Chartered,883793389,Bank of Baroda,898753260,1665.26,US Dollar,1662.6,US Dollar,Wire,0
2022/09/02 07:31,Wells Fargo,830513739,Barclays,812614124,4234.83,US Dollar,4192.18,US Dollar,ACH,0
2022/09/17 03:32,HSBC,851273847,Credit Suisse,839476249,181.31,US Dollar,183.19,US Dollar,ACH,0
2022/09/25 14:48,ING Bank,994705205,JPMorgan Chase,988961459,9734.98,Chinese Yuan,9401.97,Singapore Dollar,Wire,1
2022/09/02 22:18,BNP Paribas,836697396,BNP Paribas,851837852,4927.63,Indian Rupee,4869.72,Indian Rupee,Bitcoin,0
2022/09/10 19:57,Morgan Stanley,858181396,Goldman Sachs,894214382,1280.01,Swiss Franc,1272.86,Swiss Franc,Bitcoin,0
2022/09/03 05:16,Barclays,838119557,Credit Suisse,853507489,2278.28,Euro,2242.3,Euro,Reinvestment,0
2022/09/07 19:34,Goldman Sachs,861220073,UBS,828566572,1637.02,Hong Kong Dollar,1637.95,Hong Kong Dollar,Wire,0
2022/09/26 17:37,Bank of Baroda,877827638,Societe Generale,825374874,1786.01,Indian Rupee,1758.99,Indian Rupee,ACH,0
2022/09/09 04:09,Morgan Stanley,896282117,Deutsche Bank,836687537,469.29,British Pound,465.59,British Pound,Cash,0
2022/09/01 12:51,Credit Suisse,845551614,Citibank,881016525,6891.59,Hong Kong Dollar,7015.39,Hong Kong Dollar,ACH,0
2022/09/17 11:46,UBS,894374605,Bank of Baroda,831227574,3352.81,US Dollar,3359.46,US Dollar,Cheque,0
2022/09/22 22:47,Morgan Stanley,968800797,UBS,895822412,9018.8,US Dollar,8830.87,Indian Rupee,Cash,1
2022/09/03 02:41,Wells Fargo,896977837,Bank of Baroda,885329037,1258.85,Indian Rupee,1256.89,Indian Rupee,Cash,0
